实体名,谷歌,百度,有道
"    ""Cheese Cake (SS-N-2C FCR)"",","芝士蛋糕（SS-N-2C FCR）,","    ""奶酪蛋糕（SS-N-2C FCR）"",","芝士蛋糕(SS-N-2C?FCR),   "
"    ""Cheetah C - 1993"",","猎豹C-1993,","    ""猎豹C-1993"",","猎豹C?-?1993,   "
"    ""Cheetah C - 1997"",","猎豹C-1997,","    ""猎豹C-1997"",","猎豹C?-?1997,   "
"    ""Cheetah C - 2002"",","猎豹C-2002,","    ""猎豹C-2002"",","猎豹C?-?2002,   "
"    ""Cheetah C - 2012, 10x"",","猎豹 C - 2012, 10x,","    ""猎豹C-2012，10倍"",","猎豹C?-?2012,?10x,   "
"    ""Cheetah D - 1993"",","猎豹D-1993,","    ""猎豹D-1993"",","猎豹D?-?1993,   "
"    ""Cheetah D - 1997"",","猎豹D-1997,","    ""猎豹D-1997"",","猎豹D?-?1997,   "
"    ""Cheetah D - 2002"",","猎豹D-2002,","    ""猎豹D-2002"",","猎豹D?-?2002,   "
"    ""Cheetah D - 2012, 2x"",","猎豹 D - 2012, 2x,","    ""猎豹D-2012，2x"",","猎豹D?-?2012,?2x,   "
"    ""Cheetah E - 1989, Interim"",","猎豹 E - 1989，临时,","    ""猎豹E-1989，临时"",","猎豹E?-?1989，临时,   "
"    ""Chimera Chaff/Flare Seduction Round "",","奇美拉箔条/耀斑诱惑回合,","    ""奇美拉颖壳/耀斑诱惑轮"",","Chimera?Chaff/Flare?Seduction?Round,   "
"    ""China BM/HZ 8610 [DR 4000]"",","中国BM/HZ 8610 [DR 4000],","    ""中国BM/HZ 8610 DR 4000"",","中国BM/HZ?8610?[dr4000],   "
"    ""China BM/KG-8605"",","中国BM/KG-8605,","    ""中国BM/KG-8605"",","中国BM?/?kg?-?8605,   "
"    ""China BM/KG-8606"",","中国BM/KG-8606,","    ""中国BM/KG-8606"",","中国BM?/?kg?-?8606,   "
"    ""China BM/KJ 8602C (RW 1045)"",","中国 BM/KJ 8602C (RW 1045),","    ""中国BM/KJ 8602C（RW 1045）"",","中国BM/KJ?8602C?(RW?1045),   "
"    ""China BM/KJ-8602 [SPS-1000] (RW 1045)"",","中国 BM/KJ-8602 [SPS-1000] (RW 1045),","    ""中国BM/KJ-8602 SPS-1000（RW 1045）"",","中国BM/KJ-8602?[SPS-1000]?(RW?1045),   "
"    ""China BM/KJ-8602A [SPS-1000] (RW 1045)"",","中国 BM/KJ-8602A [SPS-1000] (RW 1045),","    ""中国BM/KJ-8602A SPS-1000（RW 1045）"",","中国BM/KJ-8602A?[SPS-1000]?(RW?1045),   "
"    ""China BM/KZ 8608 (CR-2800)"",","中国BM/KZ 8608 (CR-2800),","    ""中国BM/KZ 8608（CR-2800）"",","中国BM/KZ?8608?(CR-2800),   "
"    ""China BM/KZ-800"",","中国BM/KZ-800,","    ""中国BM/KZ-800"",","中国BM?/?kz?-?800,   "
"    ""China BM/KZ-900"",","中国BM/KZ-900,","    ""中国BM/KZ-900"",","中国BM?/?kz?-?900,   "
"    ""China H-200 ([Triumphant Mountain])"",","中国轰200（[凯旋山]）,","    ""中国H-200（凯旋山）"",","中国H-200([凯旋山]),   "
"    ""China H-200 Improved (HQ-22 Mod)"",","中国H-200改进型（HQ-22 Mod）,","    ""中国H-200改进型（HQ-22国防部）"",","中国H-200改进型(HQ-22?Mod),   "
"    ""China HN-401R"",","中国HN-401R,","    ""中国HN-401R"",","中国hn?-?401?r,   "
"    ""China HN-503"",","中国HN-503,","    ""中国HN-503"",","中国hn?-?503,   "
"    ""China HQ-64 Illuminator"",","中国HQ-64照明器,","    ""中国HQ-64照明器"",","中国总部-?64照明,   "
"    ""China HQ-64 Search"",","中国HQ-64搜索,","    ""中国总部-64搜索"",","中国总部-?64搜索,   "
"    ""China JL-10A Shen Ying (JH-7A)"",","中国JL-10A神鹰（JH-7A）,","    ""中国JL-10A沈颖（JH-7A）"",","中国JL-10A沈颖(JH-7A),   "
"    ""China JL-10A+ Shen Ying (JH-7AII, China JL-10A Shen Ying Upgrade)"",","中国JL-10A+神鹰（JH-7AII，中国JL-10A神鹰升级版）,","    ""中国JL-10A+申鹰（JH-7AII，中国JL-10A申鹰升级）"",","中国JL-10A+申英(JH-7AII，中国JL-10A申英升级),   "
"    ""China JL-7"",","中国JL-7,","    ""中国JL-7"",","中国JL-7,   "
"    ""China JL-7A"",","中国JL-7A,","    ""中国JL-7A"",","中国JL-7A,   "
"    ""China JLG-43 HF"",","中国JLG-43 HF,","    ""中国JLG-43高频"",","中国JLG-43高频,   "
"    ""China JLP-40 (Bar Lock Copy)"",","中国JLP-40（条形锁副本）,","    ""中国JLP-40（酒吧锁副本）"",","中国JLP-40?(Bar?Lock?Copy),   "
"    ""China JM-83 [IR]"",","中国JM-83 [红外],","    ""中国JM-83红外光谱仪"",","中国jm?-?83?(IR),   "
"    ""China JM-83 [LLVT]"",","中国JM-83 [LLVT],","    ""中国JM-83 LLVT"",","中国jm?-?83?(LLVT),   "
"    ""China JM-83 [Laser Rangefinder]"",","中国JM-83 [激光测距仪],","    ""中国JM-83激光测距仪"",","中国JM-83(激光测距仪),   "
"    ""China JM-83 [RO Radar]"",","中国JM-83 [RO雷达],","    ""中国JM-83反渗透雷达"",","中国JM-83?[RO雷达],   "
"    ""China JM-83 [Radar/IR/LLTV/Laser] (Group, Gun Director)"",","中国JM-83[雷达/红外/LLTV/激光]（组、炮长）,","    ""中国JM-83雷达/红外/微光电视/激光（集团，炮长）"",","中国JM-83[雷达/红外/LLTV/激光](组，炮长),   "
"    ""China JY-11"",","中国JY-11,","    ""中国JY-11"",","中国JY-11,   "
"    ""China JY-11B"",","中国JY-11B,","    ""中国JY-11B"",","中国JY-11B,   "
"    ""China JY-14 Great Wall"",","中国JY-14长城,","    ""中国JY-14长城"",","中国JY-14长城,   "
"    ""China JY-27 Wide Mat"",","中国JY-27宽垫,","    ""中国JY-27宽垫"",","中国JY-27宽垫,   "
"    ""China JY-8 Wall Rust"",","中国JY-8壁锈,","    ""中国JY-8墙体锈蚀"",","中国JY-8墙体锈蚀,   "
"    ""China JY-8A Wall Rust"",","中国JY-8A壁锈,","    ""中国JY-8A墙体锈蚀"",","中国JY-8A墙体锈蚀,   "
"    ""China JY-9 Wall Eye"",","中国JY-9壁虎,","    ""中国JY-9壁眼"",","中国JY-9墙眼,   "
"    ""China JYL-1"",","中国JYL-1,","    ""中国JYL-1"",","中国JYL-1,   "
"    ""China JYL-1 (Mobile Variant)"",","中国JYL-1（移动变体）,","    ""中国JYL-1（移动变型）"",","中国JYL-1(移动版),   "
"    ""China KG-300 (China)"",","中国KG-300（中国）,","    ""中国KG-300（中国）"",","中国kg?-?300(中国),   "
"    ""China KJ-2000"",","中国KJ-2000,","    ""中国KJ-2000"",","中国kj?-?2000,   "
"    ""China KLC-1 (Z-9, Surface search)"",","中国KLC-1（Z-9，水面搜索）,","    ""中国KLC-1（Z-9，地面搜索）"",","中国KLC-1?(Z-9，水面搜索),   "
"    ""China KLJ-3 PESA [Zhemchoug] (J-10B)"",","中国KLJ-3 PESA [Zhemchoug] (J-10B),","    ""中国KLJ-3比萨Zhemchoug（J-10B）"",","中国KLJ-3?PESA?[Zhemchoug]?(J-10B),   "
"    ""China KLJ-3 [Zhemchoug] (J-10A, Zhuk-M Mod)"",","中国 KLJ-3 [Zhemchoug] (J-10A, Zhuk-M Mod),","    ""中国KLJ-3 Zhemchoug（J-10A，Zhuk-M国防部）"",","中国KLJ-3?[Zhemchoug]?(J-10A,?Zhuk-M?Mod),   "
"    ""China KLJ-6E Lieying (EL/M-2001 / Pointer 2500)"",","中国KLJ-6E猎鹰（EL/M-2001/指针2500）,","    ""中国KLJ-6E列营（EL/M-2001/2500）"",","中国KLJ-6E?Lieying?(EL/M-2001?/?Pointer?2500),   "
"    ""China KLJ-7 [Type 1478] (JF-17)"",","中国KLJ-7[1478型]（JF-17）,","    ""中国KLJ-7 1478型（JF-17）"",","中国KLJ-7[1478型](JF-17),   "
"    ""China KLJ-7A [Type 1478] (JF-17 Blk III, AESA)"",","中国KLJ-7A[1478型]（JF-17 Blk III，AESA）,","    ""中国KLJ-7A 1478型（JF-17 Blk III，AESA）"",","中国KLJ-7A[1478型](JF-17?III座，AESA),   "
"    ""China KLJ-X AESA [Zhemchoug] (J-10C)"",","中国KLJ-X AESA [Zhemchoug] (J-10C),","    ""中国KLJ-X AESA Zhemchoug（J-10C）"",","中国KLJ-X?AESA?(J-10C),   "
"    ""China KZ-900 ELINT Pod "",","中国KZ-900 ELINT Pod,","    ""中国KZ-900电子战吊舱"",","中国KZ-900电子式吊舱,   "
"    ""China LPAR"",","中国LPAR,","    ""中国LPAR"",","中国LPAR,   "
"    ""China MW-5"",","中国MW-5,","    ""中国MW-5"",","中国MW-5,   "
"    ""China MW-7-JB"",","中国MW-7-JB,","    ""中国MW-7-JB"",","中国MW-7-JB,   "
"    ""China Model 17-C"",","中国17-C型,","    ""中国模式17-C"",","中国模式”17摄氏度,,   "
"    ""China OTH-B"",","中国OTH-B,","    ""中国OTH-B"",","中国OTH-B,   "
"    ""China OTH-SW"",","中国OTH-SW,","    ""中国OTH-SW"",","中国OTH-SW,   "
"    ""China REL-1 Rye House (Type 518 Sea Eye)"",","中国REL-1黑麦屋（518型海眼）,","    ""中国REL-1黑麦之家（518型海眼）"",","中国REL-1黑麦屋(518型海眼),   "
"    ""China REL-6B"",","中国REL-6B,","    ""中国REL-6B"",","中国REL-6B,   "
"    ""China SJ-212 (HQ-12, KS-1A)"",","中国SJ-212（HQ-12，KS-1A）,","    ""中国SJ-212（HQ-12，KS-1A）"",","中国SJ-212?(HQ-12,?KS-1A),   "
"    ""China SJD-2 (Luda)"",","中国SJD-2（旅大）,","    ""中国SJD-2（卢达）"",","中国SJD-2(公司),   "
"    ""China SJD-3 [Tamir-11 Copy] (Jianghu I)"",","中国SJD-3 [Tamir-11 Copy]（江湖I）,","    ""中国SJD-3塔米尔-11副本（I）"",","中国SJD-3[塔米尔-11抄本](江湖1号),   "
"    ""China SJD-4 (Luda)"",","中国SJD-4（旅大）,","    ""中国SJD-4（卢达）"",","中国SJD-4(公司),   "
"    ""China SJD-5 [Tamir-11 Impr] (Jianghu II, EH-5)"",","中国SJD-5 [Tamir-11 Impr]（江湖II，EH-5）,","    ""中国SJD-5塔米尔-11改进版（江湖II，EH-5）"",","中国SJD-5[泰米尔-11?Impr](江湖II,?EH-5),   "
"    ""China SJD-5A [Tamir-11 Impr] (Jianghu III, EH-5A, Echo Type 5)"",","中国SJD-5A [Tamir-11 Impr]（江湖III，EH-5A，回声5型）,","    ""中国SJD-5A塔米尔-11改进型（江湖III，EH-5A，回声类型5）"",","中国SJD-5A?[Tamir-11?Impr](江湖III,?EH-5A,?Echo?5型),   "
"    ""China SJD-7 [DUBA 25] (Jiangwei)"",","中国SJD-7[DUBA 25]（江卫）,","    ""中国SJD-7都巴25（江卫）"",","中国SJD-7?[DUBA?25](江卫),   "
"    ""China SJD-8 [DUBV 43] (Luda III, Luhu, , EES-1)"",","中国SJD-8 [DUBV 43]（旅大三号，旅虎，，，EES-1）,","    ""中国SJD-8 DUBV 43（路大III、路虎、EES-1）"",","中国SJD-8?[DUBV?43](旅大III，旅湖，es?-1),   "
"    ""China SJD-9 [DUBV 23] (Luda III, Luhu)"",","中国SJD-9 [DUBV 23]（旅大III，旅沪）,","    ""中国SJD-9 DUBV 23（鹿湖路达III）"",","中国SJD-9?[DUBV?23](旅大III，旅湖),   "
"    ""China SJD-X [Unknown VDS] (Type 054++, Type 056 ASW)"",","中国SJD-X [未知VDS]（054++型，056型ASW）,","    ""中国SJD-X未知VDS（054++，056 ASW型）"",","中国SJD-X[未知VDS](054++型，056?ASW型),   "
"    ""China SJG-206 TASS (Assoc w SJD-9, Surface Units)"",","China SJG-206 TASS (Assoc w SJD-9, Surface Units),","    ""中国SJG-206 TASS（Assoc w SJD-9，地面装置）"",","中国SJG-206?TASS?(Assoc?w?SJD-9水面装置),   "
"    ""China SJG-206A TASS (Submarine)"",","中国SJG-206A塔斯（潜艇）,","    ""中国SJG-206A塔斯（潜艇）"",","中国SJG-206A塔斯(潜艇),   "
"    ""China SQC-1 [DSUV 2H + DUUA 2D] (DSUV 22 System, Han)"",","中国SQC-1[DSUV 2H + DUUA 2D]（DSUV 22系统，汉）,","    ""中国SQC-1 DSUV 2H+DUUA 2D（DSUV 22系统，韩）"",","中国SQC-1?[DSUV?2H?+?DUUA?2D]?(DSUV?22?System,?Han),   "
"    ""China SQC-207 (Shang, Jin, Flank Sonar)"",","中国SQC-207（上、进、侧翼声纳）,","    ""中国SQC-207（商、金、侧翼声纳）"",","中国SQC-207(商、金、侧翼声纳),   "
"    ""China SQG-2B [DUUX 5] (Han)"",","中国SQG-2B[DUUX 5]（汉）,","    ""中国SQG-2B DUUX 5（汉族）"",","中国SQG-2B?[DUUX?5](汉),   "
"    ""China Towed Acoustic Decoy (2012+)"",","中国拖曳声学诱饵（2012+）,","    ""中国拖曳式声学诱饵（2012+）"",","中国拖曳声诱饵(2012+),   "
"    ""China Type 120 [JY-29/LSS-1 Mod] (HQ-9 / HQ-12 Low-Alt Aquisition, LLQ120)"",","中国 120 型 [JY-29/LSS-1 Mod]（HQ-9 / HQ-12 Low-Alt Aquisition, LLQ120）,","    ""中国120型JY-29/LSS-1 Mod（HQ-9/HQ-12低Alt采集，LLQ120）"",","中国120型[JY-29/LSS-1?Mod]?(HQ-9?/?HQ-12低alt采办，LLQ120),   "
"    ""China Type 1474 (J-11B)"",","中国1474型（J-11B）,","    ""中国1474型（J-11B）"",","中国1474型(J-11B),   "
"    ""China Type 1492 (J-8F, JL-10 or Type 1492?)"",","中国 1492 型（J-8F、JL-10 或 1492 型？）,","    ""中国1492型（J-8F、JL-10或1492型？）"",","中国1492型(J-8F、JL-10还是1492型?),   "
"    ""China Type 200-4 [Durandal Copy] (1997)"",","中国200-4型[杜兰达尔副本]（1997）,","    ""中国200-4型杜兰达尔复制品（1997年）"",","中国200-4型[杜兰达尔抄本](1997),   "
"    ""China Type 200A LGB [Durandal Copy] (2012)"",","中国 200A 型 LGB [Durandal Copy] (2012),","    ""中国200A型LGB杜兰达尔副本（2012年）"",","中国200A型LGB?[Durandal?Copy](2012),   "
"    ""China Type 204 RO [JL-7] (J-8I)"",","中国 204 型 RO [JL-7] (J-8I),","    ""中国204型RO JL-7（J-8I）"",","中国204型RO?[JL-7]?(J-8I),   "
"    ""China Type 208A [KLJ-1, Zhuk-8II]"",","中国 208A 型 [KLJ-1, Zhuk-8II],","    ""中国208A型KLJ-1，朱克-8II"",","中国208A型[KLJ-1,?Zhuk-8II],   "
"    ""China Type 208B [KLJ-1, Zhuk-8II]"",","中国 208B 型 [KLJ-1, Zhuk-8II],","    ""中国208B型KLJ-1，朱克-8II"",","中国208B型[KLJ-1,?Zhuk-8II],   "
"    ""China Type 211 (Bee Hind Clone?)"",","中国211型（蜂后克隆？）,","    ""中国211型（蜂后克隆？）"",","中国211型(蜂后克隆?),   "
"    ""China Type 222 (J-7)"",","中国222型（J-7）,","    ""中国222型（J-7）"",","中国222型(J-7),   "
"    ""China Type 222 Mod"",","中国222型,","    ""中国222型国防部"",","中国222型Mod,   "
"    ""China Type 226 Skyranger RO"",","中国226型天行者RO,","    ""中国226型空中巡逻机RO"",","中国226型Skyranger?RO,   "
"    ""China Type 232H Eagle Eye (JH-7 Radar)"",","中国232H型鹰眼（JH-7雷达）,","    ""中国型232H鹰眼（JH-7雷达）"",","中国232H型鹰眼(JH-7雷达),   "
"    ""China Type 241 [HL-2] (Short Horn Clone)"",","中国241式[HL-2]（短角克隆）,","    ""中国241型HL-2（短角克隆）"",","中国241型[HL-2](短角型克隆),   "
"    ""China Type 244 [HL-2A] (Short Horn Clone)"",","中国244式[HL-2A]（短角克隆）,","    ""中国244型HL-2A（短角克隆）"",","中国244型[HL-2A](短角型克隆),   "
"    ""China Type 245 [HL-6D] (Short Horn)"",","中国245式[HL-6D]（短喇叭）,","    ""中国245型HL-6D（短喇叭）"",","中国245型[HL-6D](短角型),   "
"    ""China Type 311A"",","中国311A型,","    ""中国311A型"",","中国311型,   "
"    ""China Type 311B"",","中国311B型,","    ""中国311B型"",","中国311?b型,   "
"    ""China Type 311C"",","中国311C型,","    ""中国311C型"",","中国311?c型,   "
"    ""China Type 316 Mechanical Mine Sweep"",","中国316型机械扫雷,","    ""中国316型机械扫雷"",","中国316型机械扫雷,   "
"    ""China Type 317 Magnetic , Type 318 Acoustic Mine Sweep"",","中国317型磁性、318型声学扫雷,","    ""中国317型磁力扫雷，318型声波扫雷"",","中国317型磁性、318型声学扫雷,   "
"    ""China Type 341 Rice Lamp (37mm)"",","中国341型米灯（37mm）,","    ""中国341型米灯（37毫米）"",","中国341型米灯(37mm),   "
"    ""China Type 342 Fog Lamp (Group, HQ-61B Missile Control, ZL-1, LL-1)"",","中国342型雾灯（组，HQ-61B导弹控制，ZL-1，LL-1）,","    ""中国342型雾灯（集团，HQ-61B导弹控制，ZL-1，LL-1）"",","中国342型雾灯(HQ-61B导弹控制组，ZL-1,?LL-1),   "
"    ""China Type 342 Fog Lamp [Radar]"",","中国342型雾灯[雷达],","    ""中国342型雾灯雷达"",","中国342型雾灯[雷达],   "
"    ""China Type 343 Sun Visor [Radar]"",","中国343型遮阳板[雷达],","    ""中国343型遮阳板雷达"",","中国343型遮阳板[雷达],   "
"    ""China Type 343 Wasp Head (Group, 100mm FCS)"",","中国343型黄蜂头（组，100毫米FCS）,","    ""中国343型黄蜂头（100毫米FCS组）"",","中国343型黄蜂头(组，100毫米FCS),   "
"    ""China Type 343 Wasp Head [Visual Director]"",","中国343型黄蜂头[视觉总监],","    ""中国343型黄蜂头视觉总监"",","中国343型黄蜂头,   "
"    ""China Type 344 (GFCR, 100mm, MR-34)"",","中国344型（GFCR，100mm，MR-34）,","    ""中国344型（GFCR，100mm，MR-34）"",","中国344型(GFCR,?100mm,?MR-34),   "
"    ""China Type 345 (Group, Crotale FCR, Castor IIJ?)"",","中国 345 型（组，Crotale FCR，Castor IIJ？）,","    ""中国345型（集团、Crotale FCR、Castor IIJ？）"",","中国345型(组，响尾蛇FCR,?Castor?IIJ?),   "
"    ""China Type 345 [Radar] (Crotale)"",","中国345式[雷达]（Crotale）,","    ""中国345型雷达（Crotale）"",","中国345型(雷达),   "
"    ""China Type 346 PAR [HQ-9] (Kvant/APAR)"",","中国 346 型 PAR [HQ-9] (Kvant/APAR),","    ""中国346型PAR HQ-9（KvANT/APAR）"",","中国346型PAR?[HQ-9]?(Kvant/APAR),   "
"    ""China Type 346A PAR [HQ-9] (Kvant/APAR)"",","中国 346A 型 PAR [HQ-9] (Kvant/APAR),","    ""中国型366A型HQ-9（KvANT/APAR）"",","中国346A型PAR?[HQ-9]?(Kvant/APAR),   "
"    ""China Type 346B (China Type 346B)"",","中国346B型（China Type 346B）,","    ""中国346B型（中国346B型）"",","中国346B型(中国346B型),   "
"    ""China Type 346B (Type 346A Replacement)"",","中国 346B 型（346A 型替代品）,","    ""中国346B型（346A型更换）"",","中国346B型(替换346A型),   "
"    ""China Type 347 (GFCR, 100mm, EFR-1, Rice Lamp)"",","中国347型（GFCR，100mm，EFR-1，米灯）,","    ""中国347型（GFCR，100mm，EFR-1，米灯）"",","中国347型(GFCR,?100mm,?EFR-1，米灯),   "
"    ""China Type 347G (GFCR, 100mm, EFR-1, Rice Lamp)"",","中国347G型（GFCR，100mm，EFR-1，米灯）,","    ""中国347G型（GFCR，100mm，EFR-1，米灯）"",","中国347G型(GFCR,?100mm,?EFR-1，米灯),   "
"    ""China Type 347G [TR-47C, Radar Tracker] (Goalkeeper, Type 730 CIWS)"",","中国347G型[TR-47C，雷达跟踪器]（守门员，730型CIWS）,","    ""中国347G型TR-47C雷达跟踪器（守门员，730型CIWS）"",","中国347G型[TR-47C，雷达跟踪器](守门员，730型CIWS),   "
"    ""China Type 348 (MR-35)"",","中国348式（MR-35）,","    ""中国348型（MR-35）"",","中国348型(MR-35),   "
"    ""China Type 349A (GFCR, 130mm)"",","中国349A型（GFCR，130mm）,","    ""中国349A型（GFCR，130mm）"",","中国349A型(GFCR,?130mm),   "
"    ""China Type 351 Pot Head"",","中国351型锅头,","    ""中国351型锅头"",","中国351型锅头,   "
"    ""China Type 352 Square Tie (SSM, Rangout)"",","中国 352 型方领（SSM，Rangout）,","    ""中国352型方形领带（SSM，兰古特）"",","中国352型方领带,   "
"    ""China Type 354 Eye Shield (2D, MX-902)"",","中国 354 型眼罩 (2D, MX-902),","    ""中国354型眼罩（2D，MX-902）"",","中国354型护目镜(2D,?MX-902),   "
"    ""China Type 360 (Sea Tiger, SR-60, S-3, Seagull-S)"",","中国360型（海虎、SR-60、S-3、海鸥-S）,","    ""中国360型（海虎、SR-60、S-3、海鸥-S）"",","中国360型(海虎、SR-60、S-3、海鸥-?s),   "
"    ""China Type 362 (ESR-1, SR-47A)"",","中国362型（ESR-1，SR-47A）,","    ""中国362型（ESR-1，SR-47A）"",","中国362型(ESR-1,?SR-47A),   "
"    ""China Type 363 (MR-36)"",","中国363型（MR-36）,","    ""中国363型（MR-36）"",","中国363型(MR-36),   "
"    ""China Type 364 (SR-64, Seagull-C)"",","中国364型（SR-64，海鸥-C）,","    ""中国364型（SR-64，海鸥C型）"",","中国364型(SR-64、海鸥-?c),   "
"    ""China Type 366 (MR-33, LR-66)"",","中国366式（MR-33、LR-66）,","    ""中国366型（MR-33、LR-66）"",","中国366型(MR-33,?LR-66),   "
"    ""China Type 381 Rice Screen (Rice Field, Sea Eagle, God Eye)"",","中国381型水稻屏风（稻田、海鹰、神眼）,","    ""中国381型水稻筛（稻田、海鹰、神眼）"",","中国381型屏风(稻田、海鹰、神眼),   "
"    ""China Type 382 (Sea Eagle, Fregat Derived)"",","中国382型（海鹰，弗雷格派生）,","    ""中国382型（海鹰，弗雷加衍生）"",","中国382型(海鹰，弗雷加特派生),   "
"    ""China Type 3xx Round Ball (GFCR, 30mm, 37mm)"",","中国 3xx 型圆球 (GFCR, 30mm, 37mm),","    ""中国式3xx圆球（GFCR，30mm，37mm）"",","中国3xx型圆球(GFCR,?30mm,?37mm),   "
"    ""China Type 404A (Coastal)"",","中国404A型（沿海）,","    ""中国404A型（沿海）"",","中国404A型(沿海型),   "
"    ""China Type 408C (1986, Mobile)"",","中国408C型（1986，机动）,","    ""中国408C型（1986年，移动）"",","中国408C型(1986，移动),   "
"    ""China Type 431"",","中国431型,","    ""中国431型"",","中国431型,   "
"    ""China Type 515 Bean Sticks"",","中国515型豆棒,","    ""中国515型豆条"",","中国515型豆条,   "
"    ""China Type 517 Knife Rest (Pea Sticks)"",","中国517型刀架（豌豆棒）,","    ""中国517型刀架（豌豆棒）"",","中国517型刀架(豌豆杆),   "
"    ""China Type 517H-1 Knife Rest (Pea Sticks)"",","中国517H-1型刀架（豌豆棒）,","    ""中国517H-1型刀架（豌豆棒）"",","中国517H-1型刀架(豌豆杆),   "
"    ""China Type 518 Sea Eye (Hai Ying, REL-1)"",","中国518型海眼（海鹰，REL-1）,","    ""中国518型海眼（海鹰，REL-1）"",","中国518型海眼(海鹰，REL-1),   "
"    ""China Type 571"",","中国571型,","    ""中国571型"",","中国571型,   "
"    ""China Type 571 Illuminator (HQ-61A Missile Control)"",","中国571型照明器（HQ-61A导弹控制）,","    ""中国571型照明器（HQ-61A导弹控制）"",","中国571型照明器(红旗-?61a型导弹控制),   "
"    ""China Type 571 Search (HQ-61A Search)"",","中国571型搜索（HQ-61A搜索）,","    ""中国571型搜索（HQ-61A搜索）"",","中国571型搜索(HQ-61A搜索),   "
"    ""China Type 581"",","中国581型,","    ""中国581型"",","中国581型,   "
"    ""China Type 605 [AN/AQS-13B]"",","中国 605 型 [AN/AQS-13B],","    ""中国605型AN/AQS-13B"",","中国605型[AN/AQS-13B],   "
"    ""China Type 639-6 Strategic Bomb [3.3mT Nuclear] "",","中国639-6型战略炸弹[3.3吨核弹],","    ""中国639-6型战略核弹330万吨"",","中国639-6型战略炸弹(330万吨核弹),   "
"    ""China Type 65 ASW Rocket Salvo [6 rnds] "",","中国 65 式反潜火箭齐射 [6 发],","    ""中国65型反潜火箭齐射6 rnds"",","中国65型反舰反潜战火箭齐射,   "
"    ""China Type 704 (Counter Bty)"",","中国704型（反Bty）,","    ""中国704型（柜台Bty）"",","中国704型(Bty柜台),   "
"    ""China Type 706 Ibis"",","中国706型宜必思,","    ""中国706型朱鹭"",","中国706型宜必思,   "
"    ""China Type 726 Fin Curve [Decca 707 Copy]"",","中国726型鳍曲线[Decca 707副本],","    ""中国726型翅片曲线Decca 707副本"",","中国726型鳍形曲线[台卡707拷贝],   "
"    ""China Type 753 [Decca 707]"",","中国753型[德卡707],","    ""中国753型Decca 707"",","中国753型[台卡707],   "
"    ""China Type 756 Fin Curve Mod [Decca 1229 Copy]"",","中国 756 型鳍曲线模组 [Decca 1229 副本],","    ""中国756型翅片曲线Mod Decca 1229副本"",","中国756型鳍形曲线Mod[台卡1229复制],   "
"    ""China Type 760"",","中国760型,","    ""中国760型"",","中国760型,   "
"    ""China Type 773 [DPL-1]"",","中国 773 型 [DPL-1],","    ""中国773型DPL-1"",","中国773型[DPL-1],   "
"    ""China Type 775 [IR]"",","中国 775 型 [IR],","    ""中国775IR型"",","中国775型[IR],   "
"    ""China Type 775 [LLVT]"",","中国 775 型 [LLVT],","    ""中国775型LLVT"",","中国775型[LLVT],   "
"    ""China Type 775 [Laser Rangefinder]"",","中国775式[激光测距仪],","    ""中国775型激光测距仪"",","中国775型激光测距仪,   "
"    ""China Type 775 [RO Radar]"",","中国775式[RO雷达],","    ""中国775型反渗透雷达"",","中国775型RO雷达,   "
"    ""China Type 775 [Radar/IR/LLTV/Laser] (Group, Surveillance-Only, GDG-775)"",","中国 775 型 [雷达/红外/LLTV/激光]（组，仅监视，GDG-775）,","    ""中国775型雷达/红外/微光电视/激光（集团，仅监控，GDG-775）"",","中国775型[雷达/红外/LLTV/激光](组，仅监视，GDG-775),   "
"    ""China Type 776 [IR]"",","中国 776 型 [IR],","    ""中国776型红外光谱仪"",","中国776型[IR],   "
"    ""China Type 776 [LLVT]"",","中国 776 型 [LLVT],","    ""中国776型LLVT"",","中国776型[LLVT],   "
"    ""China Type 776 [Laser Rangefinder]"",","中国776式[激光测距仪],","    ""中国776型激光测距仪"",","中国776型[激光测距仪],   "
"    ""China Type 776 [RO Radar]"",","中国776式[RO雷达],","    ""中国776型反渗透雷达"",","中国776型[RO雷达],   "
"    ""China Type 776 [Radar/IR/LLTV/Laser] (Group, Surveillance-Only, GDG-776)"",","中国 776 型 [雷达/红外/LLTV/激光]（组，仅监视，GDG-776）,","    ""中国776型雷达/红外/微光电视/激光（集团，仅监控，GDG-776）"",","中国776型[雷达/红外/LLTV/激光](组，仅监视，GDG-776),   "
"    ""China Type 80E"",","中国80E型,","    ""中国80E型"",","中国80?e型,   "
"    ""China Type 81 ASW Rocket Salvo [5 rnds] (RBU-1200)"",","中国 81 式反潜导弹齐射 [5 发] (RBU-1200),","    ""中国81型反潜火箭齐射5 rnds（RBU-1200）"",","中国81型反潜战火箭齐射(RBU-1200),   "
"    ""China Type 825 (Assoc with Type 981 Jammer)"",","中国 825 型（与 981 型干扰机配合）,","    ""中国825型（与981型干扰机配套）"",","中国825型(联合981型干扰机),   "
"    ""China Type 826 (HZ100, Assoc w Type 984/985 Jammer)"",","中国 826 型（HZ100，配套 984/985 型干扰机）,","    ""中国826型（HZ100，联合w型984/985干扰机）"",","中国826型(HZ100，美国w型984/985干扰机),   "
